Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 13.81      0.18     0.18  8335689     0.00     0.00  SatProblem::isSatCnj(int*, int)
  6.72      0.28     0.09   100000     0.00     0.00  SatProblem::initParams()
  5.97      0.35     0.08   754088     0.00     0.00  SatProblem::getNsc2(int*, int)
  4.85      0.42     0.07  6405098     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  4.48      0.48     0.06  2067404     0.00     0.00  Random::genrand()
  4.48      0.54     0.06   100000     0.00     0.00  SatProblem::initSatCheck(int*)
  4.10      0.59     0.06 16700214     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  3.73      0.65     0.05 12518472     0.00     0.00  std::_List_iterator<int>::operator++(int)
  3.73      0.69     0.05  6405122     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  2.99      0.73     0.04 26087010     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  2.99      0.78     0.04 24084505     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  2.99      0.81     0.04  3202549     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  2.99      0.85     0.04    96781     0.00     0.00  SampleSAT::randomWalk()
  2.24      0.89     0.03 19902763     0.00     0.00  std::list<int, std::allocator<int> >::end()
  2.24      0.92     0.03 14776680     0.00     0.00  std::_List_iterator<int>::operator*() const
  2.24      0.94     0.03   385587     0.00     0.00  SampleSAT::walk()
  1.87      0.97     0.03  4181742     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  1.87      0.99     0.03   802533     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  1.49      1.01     0.02  6421788     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  1.49      1.03     0.02  6405122     0.00     0.00  std::allocator<int>::~allocator()
  1.49      1.05     0.02  3202549     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  1.49      1.07     0.02   802505     0.00     0.00  std::list<int, std::allocator<int> >::clear()
  1.49      1.09     0.02   100000     0.00     0.00  SatProblem::cpClVector()
  1.49      1.11     0.02    96781     0.00     0.00  SatProblem::getNsc1(int*, int)
  1.49      1.14     0.02    96357     0.00     0.00  SampleSAT::greedyWalk()
  1.49      1.16     0.02      100     0.00     0.00  SliceSampling::calclik2(int, double*)
  1.49      1.18     0.02        1     0.02     1.32  SliceSampling::cdlearn(int)
  1.12      1.19     0.01  6305156     0.00     0.00  SatProblem::getNumVariables()
  1.12      1.21     0.01        2     0.01     0.01  std::_List_iterator<int>::_List_iterator()
  0.75      1.22     0.01  3205134     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.75      1.23     0.01  3202549     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  0.75      1.24     0.01  3121218     0.00     0.00  SatProblem::getTheta(int)
  0.75      1.25     0.01   433736     0.00     0.00  Timer::time()
  0.75      1.25     0.01   382862     0.00     0.00  SatProblem::getCnj(int, int)
  0.75      1.26     0.01   376368     0.00     0.00  SatProblem::addNumSat(int)
  0.75      1.27     0.01   376368     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.75      1.28     0.01   192449     0.00     0.00  SampleSAT::simAnnealing()
  0.75      1.29     0.01   192449     0.00     0.00  SampleSAT::getTemp()
  0.75      1.30     0.01   100000     0.00     0.00  SliceSampling::sampleX()
  0.75      1.31     0.01   100000     0.00     0.00  SampleSAT::solve(SatProblem*, int*)
  0.37      1.32     0.01  6421788     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.37      1.32     0.01  6405122     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.37      1.33     0.01  3202549     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.37      1.33     0.01  3202549     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  0.37      1.34     0.01       52     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      1.34     0.00  3414040     0.00     0.00  SatProblem::getClVecSize()
  0.00      1.34     0.00  3205158     0.00     0.00  operator new(unsigned int, void*)
  0.00      1.34     0.00  3202549     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  0.00      1.34     0.00  3202549     0.00     0.00  __gnu_cxx::new_allocator<int>::destroy(int*)
  0.00      1.34     0.00  3202549     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      1.34     0.00  3202549     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      1.34     0.00  2067404     0.00     0.00  SatProblem::getGrand()
  0.00      1.34     0.00  1848853     0.00     0.00  SatProblem::getClVec(int)
  0.00      1.34     0.00  1589136     0.00     0.00  SatProblem::getVar(int)
  0.00      1.34     0.00  1513458     0.00     0.00  SatProblem::getFixedClausei(int)
  0.00      1.34     0.00  1200000     0.00     0.00  std::list<int, std::allocator<int> >::empty() const
  0.00      1.34     0.00   809790     0.00     0.00  SatProblem::getNumSat()
  0.00      1.34     0.00   802533     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  0.00      1.34     0.00   683076     0.00     0.00  SatProblem::getCnjSize(int)
  0.00      1.34     0.00   382862     0.00     0.00  SatProblem::getCnf(int)
  0.00      1.34     0.00   376368     0.00     0.00  SatProblem::getNumClauses()
  0.00      1.34     0.00   100000     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00      1.34     0.00   100000     0.00     0.00  SatProblem::getNumFixedClause()
  0.00      1.34     0.00   100000     0.00     0.00  SliceSampling::sampleU()
  0.00      1.34     0.00   100000     0.00     0.00  SampleSAT::init_model()
  0.00      1.34     0.00    33286     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      1.34     0.00    28116     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.34     0.00    28116     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.34     0.00    28116     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.34     0.00    21790     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      1.34     0.00    19251     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      1.34     0.00    16666     0.00     0.00  std::allocator<int>::allocator()
  0.00      1.34     0.00    16666     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.34     0.00    16666     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      1.34     0.00    16666     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.34     0.00    16665     0.00     0.00  SatProblem::setAtom(int, int)
  0.00      1.34     0.00    16665     0.00     0.00  SatProblem::rewriteWL(int, int)
  0.00      1.34     0.00    16665     0.00     0.00  SatProblem::setClause(int, int)
  0.00      1.34     0.00    16665     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00      1.34     0.00    15510     0.00     0.00  std::__niter_base<int*, false>::__b(int*)
  0.00      1.34     0.00    10340     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.34     0.00    10340     0.00     0.00  std::__miter_base<int*, false>::__b(int*)
  0.00      1.34     0.00     8865     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00      1.34     0.00     8865     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00      1.34     0.00     7755     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      1.34     0.00     5170     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.34     0.00     5170     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.34     0.00     5170     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__uninitialized_copy<true>::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__copy_move_a<false, int*, int*>(int*, int*, int*)
