Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   122538     0.00     0.00  SatProblem::getTheta(int)
  0.00      0.00     0.00    22101     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  0.00      0.00     0.00    20109     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  0.00      0.00     0.00    16751     0.00     0.00  std::list<int, std::allocator<int> >::end()
  0.00      0.00     0.00    13515     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  0.00      0.00     0.00    12065     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.00     0.00    10157     0.00     0.00  std::_List_iterator<int>::operator++(int)
  0.00      0.00     0.00     7023     0.00     0.00  SatProblem::isSatCnj(int*, int)
  0.00      0.00     0.00     6610     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00     6610     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00     6496     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.00      0.00     0.00     6496     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00     6496     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00     6472     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     3358     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  0.00      0.00     0.00     3260     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00     3236     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  0.00      0.00     0.00     3236     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  0.00      0.00     0.00     3236     0.00     0.00  __gnu_cxx::new_allocator<int>::destroy(int*)
  0.00      0.00     0.00     3236     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      0.00     0.00     3236     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      0.00     0.00     3236     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.00     0.00     3236     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      0.00     0.00     3236     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  0.00      0.00     0.00     3236     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  0.00      0.00     0.00     3236     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.00     0.00     2434     0.00     0.00  SatProblem::getClVecSize()
  0.00      0.00     0.00     1934     0.00     0.00  SatProblem::getGrand()
  0.00      0.00     0.00     1934     0.00     0.00  Random::genrand()
  0.00      0.00     0.00     1556     0.00     0.00  SatProblem::getVar(int)
  0.00      0.00     0.00     1304     0.00     0.00  SatProblem::getClVec(int)
  0.00      0.00     0.00     1200     0.00     0.00  std::list<int, std::allocator<int> >::empty() const
  0.00      0.00     0.00     1057     0.00     0.00  SatProblem::getFixedClausei(int)
  0.00      0.00     0.00      992     0.00     0.00  SatProblem::getNumSat()
  0.00      0.00     0.00      820     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  0.00      0.00     0.00      820     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.00     0.00      792     0.00     0.00  std::list<int, std::allocator<int> >::clear()
  0.00      0.00     0.00      674     0.00     0.00  Timer::time()
  0.00      0.00     0.00      572     0.00     0.00  SatProblem::getNsc2(int*, int)
  0.00      0.00     0.00      560     0.00     0.00  SatProblem::getCnjSize(int)
  0.00      0.00     0.00      321     0.00     0.00  SampleSAT::walk()
  0.00      0.00     0.00      318     0.00     0.00  SatProblem::addNumSat(int)
  0.00      0.00     0.00      318     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.00      0.00     0.00      297     0.00     0.00  SatProblem::getCnf(int)
  0.00      0.00     0.00      297     0.00     0.00  SatProblem::getCnj(int, int)
  0.00      0.00     0.00      159     0.00     0.00  SampleSAT::simAnnealing()
  0.00      0.00     0.00      159     0.00     0.00  SampleSAT::getTemp()
  0.00      0.00     0.00      114     0.00     0.00  SatProblem::setAtom(int, int)
  0.00      0.00     0.00      114     0.00     0.00  SatProblem::rewriteWL(int, int)
  0.00      0.00     0.00      114     0.00     0.00  SatProblem::setClause(int, int)
  0.00      0.00     0.00      114     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00      0.00     0.00      114     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00      114     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00      114     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00      114     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.00     0.00      114     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00      114     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00      114     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::cpClVector()
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::initParams()
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::initSatCheck(int*)
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::getNumFixedClause()
  0.00      0.00     0.00      100     0.00     0.00  SliceSampling::sampleU()
  0.00      0.00     0.00      100     0.00     0.00  SliceSampling::sampleX()
  0.00      0.00     0.00      100     0.00     0.00  SampleSAT::init_model()
  0.00      0.00     0.00      100     0.00     0.00  SampleSAT::solve(SatProblem*, int*)
  0.00      0.00     0.00       82     0.00     0.00  SampleSAT::greedyWalk()
  0.00      0.00     0.00       80     0.00     0.00  SatProblem::getNsc1(int*, int)
  0.00      0.00     0.00       80     0.00     0.00  SampleSAT::randomWalk()
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.00     0.00       48     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.00     0.00       28     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.00     0.00       28     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.00     0.00       28     0.00     0.00  std::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.00     0.00       28     0.00     0.00  std::list<int, std::allocator<int> >::~list()
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00       24     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
  0.00      0.00     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::end() const
