Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 73.43     24.10    24.10   100000     0.00     0.00  SliceSampling::getIdx(int)
 14.78     28.95     4.85    20000     0.00     0.00  SliceSampling::modelcheck(int)
  3.09     29.96     1.01 35279620     0.00     0.00  SatProblem::isSatCnj(int*, int)
  2.29     30.71     0.75  2117037     0.00     0.00  SatProblem::getNsc2(int*, int)
  1.10     31.07     0.36        1     0.36    27.89  SliceSampling::cdlearn(int)
  1.08     31.43     0.35 67456529     0.00     0.00  std::_List_iterator<int>::operator++(int)
  0.70     31.66     0.23 76999397     0.00     0.00  std::list<int, std::allocator<int> >::end()
  0.55     31.84     0.18    35162     0.00     0.00  SampleSAT::randomWalk()
  0.43     31.98     0.14 86129161     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  0.41     32.12     0.14 76350385     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  0.30     32.22     0.10 85893253     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  0.18     32.27     0.06 70033333     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.18     32.34     0.06 21847752     0.00     0.00  SatProblem::getTheta(int)
  0.18     32.40     0.06   135504     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.15     32.45     0.05    35335     0.00     0.00  SampleSAT::greedyWalk()
  0.12     32.48     0.04   491789     0.00     0.00  Random::genrand()
  0.09     32.52     0.03    92200     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  0.09     32.55     0.03    35162     0.00     0.00  SatProblem::getNsc1(int*, int)
  0.08     32.57     0.03 20164564     0.00     0.00  SatProblem::getClVecSize()
  0.06     32.59     0.02 10011958     0.00     0.00  SatProblem::getFixedClausei(int)
  0.06     32.61     0.02  8893856     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  0.06     32.63     0.02    92200     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  0.05     32.65     0.01                             SatProblem::isSat(int*)
  0.03     32.66     0.01  2816650     0.00     0.00  SatProblem::getVar(int)
  0.03     32.66     0.01   649300     0.00     0.00  operator new(unsigned int, void*)
  0.03     32.67     0.01   649012     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  0.03     32.69     0.01   649012     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  0.03     32.70     0.01   649012     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  0.03     32.70     0.01    91908     0.00     0.00  std::list<int, std::allocator<int> >::clear()
  0.03     32.72     0.01    70697     0.00     0.00  SampleSAT::simAnnealing()
  0.03     32.73     0.01    32150     0.00     0.00  Timer::time()
  0.03     32.73     0.01     1000     0.00     0.00  SatProblem::initParams()
  0.03     32.74     0.01     1000     0.00     0.00  SatProblem::initSatCheck(int*)
  0.03     32.76     0.01       76     0.00     0.00  SatProblem::getNumVariables()
  0.03     32.77     0.01        4     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.03     32.77     0.01        1     0.01     0.01  SatProblem::parseSliFile(char*)
  0.03     32.78     0.01        1     0.01    32.77  SliceSampling::learn(int*, char*, int)
  0.03     32.80     0.01        1     0.01     4.86  SliceSampling::readdata(char*, int)
  0.03     32.80     0.01        1     0.01     0.01  SliceSampling::lallocate(int)
  0.02     32.81     0.01 10477671     0.00     0.00  SatProblem::getClVec(int)
  0.02     32.81     0.01   300850     0.00     0.00  SatProblem::getCnjSize(int)
  0.02     32.82     0.01     1000     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00     32.82     0.00  1312364     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     32.82     0.00  1312364     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     32.82     0.00  1298312     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.00     32.82     0.00  1298312     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  0.00     32.82     0.00  1298312     0.00     0.00  std::allocator<int>::~allocator()
  0.00     32.82     0.00  1298024     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     32.82     0.00   649012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  0.00     32.82     0.00   649012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  0.00     32.82     0.00   649012     0.00     0.00  __gnu_cxx::new_allocator<int>::destroy(int*)
  0.00     32.82     0.00   649012     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00     32.82     0.00   649012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00     32.82     0.00   649012     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00     32.82     0.00   649012     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  0.00     32.82     0.00   496329     0.00     0.00  SatProblem::getNumSat()
  0.00     32.82     0.00   491789     0.00     0.00  SatProblem::getGrand()
  0.00     32.82     0.00   186310     0.00     0.00  SatProblem::getCnf(int)
  0.00     32.82     0.00   186310     0.00     0.00  SatProblem::getCnj(int, int)
  0.00     32.82     0.00   144000     0.00     0.00  std::list<int, std::allocator<int> >::empty() const
  0.00     32.82     0.00   141194     0.00     0.00  SampleSAT::walk()
