Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 73.83   2578.76  2578.76  1000000     0.00     0.00  SliceSampling::getIdx(int)
 25.94   3484.80   906.04   200000     0.00     0.00  SliceSampling::modelcheck(int)
  0.09   3488.03     3.23        1     0.00     2.59  SliceSampling::cdlearn(int)
  0.03   3489.11     1.08 29120656     0.00     0.00  SatProblem::isSatCnj(int*, int)
  0.02   3489.82     0.71       10     0.00     0.26  SliceSampling::calclik(int, double*, int*)
  0.02   3490.51     0.68  1808105     0.00     0.00  SatProblem::getNsc2(int*, int)
  0.02   3491.07     0.57 215833752     0.00     0.00  SatProblem::getTheta(int)
  0.01   3491.43     0.35 55560299     0.00     0.00  std::_List_iterator<int>::operator++(int)
  0.01   3491.66     0.23        1     0.00     0.91  SliceSampling::readdata(char*, int)
  0.01   3491.86     0.20 63807941     0.00     0.00  std::list<int, std::allocator<int> >::end()
  0.00   3491.99     0.13 71642479     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  0.00   3492.11     0.12    30243     0.00     0.00  SampleSAT::randomWalk()
  0.00   3492.22     0.12 63158929     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  0.00   3492.31     0.09    30184     0.00     0.00  SampleSAT::greedyWalk()
  0.00   3492.39     0.07 71406571     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  0.00   3492.45     0.06        1     0.00     3.49  SliceSampling::learn(int*, char*, int)
  0.00   3492.49     0.04 57728512     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00   3492.53     0.04   115537     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.00   3492.57     0.04        1     0.00     0.00  SatProblem::parseSliFile(char*)
  0.00   3492.60     0.03        1     0.00     0.00  SliceSampling::lallocate(int)
  0.00   3492.62     0.03        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00   3492.64     0.02 17085936     0.00     0.00  SatProblem::getClVecSize()
  0.00   3492.66     0.02  8482482     0.00     0.00  SatProblem::getFixedClausei(int)
  0.00   3492.68     0.02    30243     0.00     0.00  SatProblem::getNsc1(int*, int)
  0.00   3492.70     0.02       76     0.00     0.00  SatProblem::getNumVariables()
  0.00   3492.72     0.01    92200     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  0.00   3492.73     0.01  2418615     0.00     0.00  SatProblem::getVar(int)
  0.00   3492.74     0.01  1298024     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00   3492.75     0.01   993690     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00   3492.76     0.01   649012     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  0.00   3492.77     0.01   649012     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  0.00   3492.78     0.01    92200     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  0.00   3492.79     0.01     1000     0.00     0.00  SatProblem::initSatCheck(int*)
  0.00   3492.80     0.01     1000     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00   3492.80     0.01  7598630     0.00     0.00  std::list<int, std::allocator<int> >::begin()
