Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 31.99     21.48    21.48 733076332     0.00     0.00  SatProblem::isSatCnj(int*, int)
 27.16     39.70    18.23  7882116     0.00     0.00  SatProblem::getNsc2(int*, int)
 12.71     48.23     8.53 1457452440     0.00     0.00  std::_List_iterator<int>::operator++(int)
  6.28     52.45     4.21 1492564307     0.00     0.00  std::list<int, std::allocator<int> >::end()
  3.81     55.01     2.56 1524228610     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  2.82     56.90     1.89 1463121113     0.00     0.00  std::_List_iterator<int>::operator*() const
  2.79     58.77     1.88 1489116743     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  2.72     60.59     1.82 1524477073     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  2.43     62.23     1.63    11303     0.00     0.00  SampleSAT::randomWalk()
  1.03     62.91     0.69 31664303     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  0.90     63.52     0.60        2     0.30     0.30  std::_List_iterator<int>::_List_iterator()
  0.76     64.03     0.51 177892984     0.00     0.00  SatProblem::getFixedClausei(int)
  0.57     64.42     0.39                             SatProblem::isSat(int*)
  0.55     64.78     0.37    11335     0.00     0.01  SampleSAT::greedyWalk()
  0.42     65.07     0.28 355831180     0.00     0.00  SatProblem::getClVecSize()
  0.42     65.36     0.28     3583     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.42     65.64     0.28     3583     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.36     65.88     0.24      733     0.00     0.00  SatProblem::getNumVariables()
  0.36     66.11     0.24        1     0.24    65.85  SliceSampling::cdlearn(int)
  0.34     66.34     0.23 181312258     0.00     0.00  SatProblem::getClVec(int)
  0.18     66.46     0.12      100     0.00     0.00  SatProblem::initParams()
  0.15     66.56     0.10       10     0.01     0.01  SliceSampling::calclik2(int, double*)
  0.13     66.65     0.09    11303     0.00     0.00  SatProblem::getNsc1(int*, int)
  0.12     66.73     0.08    43522     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.07     66.78     0.05   105583     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  0.04     66.81     0.03 14886909     0.00     0.00  SatProblem::getTheta(int)
  0.04     66.84     0.03  8396019     0.00     0.00  SatProblem::getVar(int)
  0.04     66.86     0.03  6901627     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.04     66.89     0.03  3447564     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  0.04     66.92     0.03  3447564     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  0.03     66.94     0.02  6895128     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.03     66.95     0.02  3447564     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  0.03     66.97     0.02  3447564     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
