Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 99.05    627.82   627.82   200000     0.00     0.00  SliceSampling::modelcheck(int)
  0.34    629.96     2.14  5301844     0.00     0.00  SatProblem::getNsc2(int*, int)
  0.24    631.47     1.51 89228031     0.00     0.00  SatProblem::isSatCnj(int*, int)
  0.15    632.45     0.98 174659111     0.00     0.00  std::_List_iterator<int>::operator++(int)
  0.03    632.67     0.22 196453498     0.00     0.00  std::list<int, std::allocator<int> >::end()
  0.03    632.85     0.18        1     0.18   628.00  SliceSampling::readdata(char*, int)
  0.03    633.02     0.17 196449688     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  0.02    633.17     0.15    50018     0.00     0.00  SampleSAT::greedyWalk()
  0.02    633.31     0.14 218244349     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  0.02    633.43     0.12 178455208     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.01    633.50     0.07 218244075     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  0.01    633.57     0.07    50010     0.00     0.00  SampleSAT::randomWalk()
  0.01    633.62     0.05 56611320     0.00     0.00  SatProblem::getClVecSize()
  0.01    633.67     0.05        1     0.05     0.05  SatProblem::parseSliFile(char*)
  0.00    633.70     0.03 30048889     0.00     0.00  SatProblem::getClVec(int)
  0.00    633.73     0.03   191564     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.00    633.76     0.03        1     0.03     0.03  SliceSampling::lallocate(int)
  0.00    633.78     0.03 28205640     0.00     0.00  SatProblem::getFixedClausei(int)
  0.00    633.80     0.02      552     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  0.00    633.82     0.01   739963     0.00     0.00  SatProblem::getNumSat()
  0.00    633.83     0.01   520474     0.00     0.00  Random::genrand()
  0.00    633.84     0.01   200000     0.00     0.00  SampleSAT::walk()
  0.00    633.85     0.01    99972     0.00     0.00  SampleSAT::simAnnealing()
  0.00    633.86     0.01    50010     0.00     0.00  SatProblem::getNsc1(int*, int)
  0.00    633.86     0.01        1     0.01     0.01  SatProblem::getNumFixedClause()
  0.00    633.86     0.00 21790577     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  0.00    633.86     0.00  7106652     0.00     0.00  SatProblem::getVar(int)
  0.00    633.86     0.00   520474     0.00     0.00  SatProblem::getGrand()
  0.00    633.86     0.00   408057     0.00     0.00  SatProblem::getCnjSize(int)
  0.00    633.86     0.00   207850     0.00     0.00  SatProblem::getCnf(int)
  0.00    633.86     0.00   207850     0.00     0.00  SatProblem::getCnj(int, int)
  0.00    633.86     0.00   191564     0.00     0.00  SatProblem::addNumSat(int)
  0.00    633.86     0.00    99972     0.00     0.00  SampleSAT::getTemp()
  0.00    633.86     0.00     4391     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00    633.86     0.00     4391     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00    633.86     0.00     4358     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.00    633.86     0.00     4358     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  0.00    633.86     0.00     4358     0.00     0.00  std::allocator<int>::~allocator()
  0.00    633.86     0.00     4358     0.00     0.00  operator new(unsigned int, void*)
  0.00    633.86     0.00     3810     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  0.00    633.86     0.00     3810     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00    633.86     0.00     3810     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00    633.86     0.00     3810     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00    633.86     0.00     3810     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00    633.86     0.00     3810     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  0.00    633.86     0.00     3810     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  0.00    633.86     0.00     3810     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  0.00    633.86     0.00     1096     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00    633.86     0.00      552     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00    633.86     0.00      552     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00    633.86     0.00      548     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00    633.86     0.00      548     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
  0.00    633.86     0.00      548     0.00     0.00  std::list<int, std::allocator<int> >::end() const
  0.00    633.86     0.00      548     0.00     0.00  std::list<int, std::allocator<int> >::begin() const
  0.00    633.86     0.00      548     0.00     0.00  std::allocator<std::_List_node<int> >::allocator<int>(std::allocator<int> const&)
